Landmark,Mean,Median,SD,CI_95_1,CI_95_2
1,0.0495931783380783,0.0499691207065651,0.00453317680272569,0.0451016041102683,0.0547007354684543
2,0.0896640886459101,0.0898865451036821,0.00380230288543563,0.0851579508287632,0.0945623721591164
3,0.140972646542979,0.141018560034722,0.00558996238364131,0.135582844390913,0.152925811679329
4,0.189797431211146,0.190104514174603,0.00454322802440735,0.185308150029543,0.194890689835276
5,0.239395374684447,0.239013015369949,0.00461092857637381,0.235183155152112,0.244690055981495
6,0.299325078386521,0.299014833173875,0.00488864193897279,0.295757698154615,0.304584856990407
7,0.340114327419095,0.339787020913084,0.00415624735247332,0.335305778592981,0.344756433860992
8,0.362720240552934,0.360914058698761,0.00809548844301826,0.355434586853588,0.374874858095746
9,0.40996203905857,0.409165852154215,0.00650184437326398,0.399130557408204,0.421535782117241
10,0.451136063220937,0.448904581560707,0.0130861088328659,0.445206955970677,0.454865274710116
11,0.552652686046618,0.551081745007449,0.00981288368215069,0.545427719924622,0.563648708287666
12,0.619116515541735,0.619176356883831,0.0122012413376472,0.605415535412315,0.624700698477964
13,0.722613107811662,0.721173104108195,0.00627256146146867,0.715491771860066,0.733389100881954
14,0.780076386146142,0.781104636115024,0.012041487049762,0.748121430338472,0.794964951046112
15,0.816686192650415,0.817522060888022,0.00541156548256056,0.805952182733216,0.824681503194057
16,0.873423906953587,0.872713416383019,0.00611887497638551,0.865410763884683,0.884253146841812
17,0.949263291987464,0.949936212888972,0.00622623783733816,0.943311913825823,0.954373433969288
18,0.938085668249605,0.99724761235746,0.235735737029561,0.00165939406906346,0.999920096153205
