"","Re1.(Intercept)","Re1.sd","sample","shape","BetaSigma","status"
"1",-0.149,0.829,"9532",1,20,"-1"
"2",0.004,2.318,"9532",1,20,"1"
"3",-2.22,0.861,"9532",2,20,"-1"
"4",0.366,1.061,"9532",2,20,"1"
"5",0.008,0.713,"9532",3,20,"-1"
"6",0.057,1.992,"9532",3,20,"1"
"7",-0.694,1.106,"9532",4,20,"-1"
"8",1.972,1.067,"9532",4,20,"1"
"9",-0.264,0.728,"9532",5,20,"-1"
"10",1.301,1.414,"9532",5,20,"1"
"11",-0.437,0.692,"9532",6,20,"-1"
"12",1.215,1.211,"9532",6,20,"1"
"13",-1.202,0.829,"9532",7,20,"-1"
"14",0.824,1.056,"9532",7,20,"1"
"15",0.009,0.797,"9532",8,20,"-1"
"16",1.178,2.386,"9532",8,20,"1"
"17",-0.003,0.865,"9532",9,20,"-1"
"18",0.844,2.51,"9532",9,20,"1"
